Date,Zip,HomeIndex
5/31/2021,85705,200055
6/30/2021,85705,207299
7/31/2021,85705,215002
8/31/2021,85705,220508
9/30/2021,85705,224180
10/31/2021,85705,227522
11/30/2021,85705,230581
12/31/2021,85705,231640
1/31/2022,85705,233836
2/28/2022,85705,236392
3/31/2022,85705,241070
4/30/2022,85705,244096
5/31/2022,85705,246421
6/30/2022,85705,247810
7/31/2022,85705,247714
1/31/2000,85711,100325
2/29/2000,85711,100364
3/31/2000,85711,100527
4/30/2000,85711,100729
5/31/2000,85711,101264
6/30/2000,85711,101749
7/31/2000,85711,102281
8/31/2000,85711,102600
9/30/2000,85711,102900
10/31/2000,85711,103332
11/30/2000,85711,103535
12/31/2000,85711,103920
1/31/2001,85711,104116
2/28/2001,85711,104468
3/31/2001,85711,104637
4/30/2001,85711,104857
5/31/2001,85711,105039
6/30/2001,85711,105426
7/31/2001,85711,105990
8/31/2001,85711,106759
9/30/2001,85711,107521
10/31/2001,85711,108293
11/30/2001,85711,108877
12/31/2001,85711,109436
1/31/2002,85711,109812
2/28/2002,85711,110506
3/31/2002,85711,111180
4/30/2002,85711,112093
5/31/2002,85711,112738
6/30/2002,85711,113317
7/31/2002,85711,113774
8/31/2002,85711,114376
9/30/2002,85711,114976
10/31/2002,85711,115911
11/30/2002,85711,116961
12/31/2002,85711,118098
1/31/2003,85711,118992
2/28/2003,85711,119798
3/31/2003,85711,120553
4/30/2003,85711,121268
5/31/2003,85711,122090
6/30/2003,85711,123145
7/31/2003,85711,124497
8/31/2003,85711,125667
9/30/2003,85711,126777
10/31/2003,85711,127588
11/30/2003,85711,128126
12/31/2003,85711,128599
1/31/2004,85711,129224
2/29/2004,85711,130348
3/31/2004,85711,131447
4/30/2004,85711,132809
5/31/2004,85711,134532
6/30/2004,85711,136781
7/31/2004,85711,138764
8/31/2004,85711,140614
9/30/2004,85711,142448
10/31/2004,85711,144596
11/30/2004,85711,146514
12/31/2004,85711,148486
1/31/2005,85711,150317
2/28/2005,85711,152738
3/31/2005,85711,155570
4/30/2005,85711,159772
5/31/2005,85711,164993
6/30/2005,85711,170489
7/31/2005,85711,176927
8/31/2005,85711,181394
9/30/2005,85711,185518
10/31/2005,85711,188023
11/30/2005,85711,190334
12/31/2005,85711,191840
1/31/2006,85711,190836
2/28/2006,85711,191570
3/31/2006,85711,193520
4/30/2006,85711,195719
5/31/2006,85711,197268
6/30/2006,85711,197194
7/31/2006,85711,197221
8/31/2006,85711,197670
9/30/2006,85711,197705
10/31/2006,85711,196989
11/30/2006,85711,196296
12/31/2006,85711,195431
1/31/2007,85711,195742
2/28/2007,85711,195312
3/31/2007,85711,195984
4/30/2007,85711,196870
5/31/2007,85711,196874
6/30/2007,85711,196078
7/31/2007,85711,195362
8/31/2007,85711,194557
9/30/2007,85711,192720
10/31/2007,85711,191209
11/30/2007,85711,189061
12/31/2007,85711,188833
1/31/2008,85711,187631
2/29/2008,85711,185076
3/31/2008,85711,181574
4/30/2008,85711,178490
5/31/2008,85711,177290
6/30/2008,85711,175157
7/31/2008,85711,172914
8/31/2008,85711,169740
9/30/2008,85711,167973
10/31/2008,85711,165916
11/30/2008,85711,164803
12/31/2008,85711,162765
1/31/2009,85711,161577
2/28/2009,85711,160698
3/31/2009,85711,159002
4/30/2009,85711,156952
5/31/2009,85711,154889
6/30/2009,85711,153373
7/31/2009,85711,152040
8/31/2009,85711,150447
9/30/2009,85711,149055
10/31/2009,85711,148182
11/30/2009,85711,147142
12/31/2009,85711,146694
1/31/2010,85711,144990
2/28/2010,85711,143531
3/31/2010,85711,142690
4/30/2010,85711,142788
5/31/2010,85711,142349
6/30/2010,85711,140957
7/31/2010,85711,139236
8/31/2010,85711,138199
9/30/2010,85711,136933
10/31/2010,85711,134958
11/30/2010,85711,132415
12/31/2010,85711,130659
1/31/2011,85711,129890
2/28/2011,85711,128443
3/31/2011,85711,126813
4/30/2011,85711,124311
5/31/2011,85711,121676
6/30/2011,85711,118344
7/31/2011,85711,115019
8/31/2011,85711,112715
9/30/2011,85711,110879
10/31/2011,85711,109346
11/30/2011,85711,108096
12/31/2011,85711,106969
1/31/2012,85711,106523
2/29/2012,85711,106585
3/31/2012,85711,106823
4/30/2012,85711,106960
5/31/2012,85711,107051
6/30/2012,85711,108248
7/31/2012,85711,110087
